"asset_tag","model_category","model","model.display_name","assigned_to","install_status","ci"
"","IP Router","Infoblox Trinzic DDI Appliances 2225","Infoblox Trinzic DDI Appliances 2225","","In use","rpawbdcdnsibxsl-1"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9007704"
"","IP Router","Cisco Systems, Inc. Nexus 9300 Series Switches N9K-C9364C","Cisco Systems, Inc. Nexus 9300 Series Switches N9K-C9364C","","In use","win-l2-x15y06-ru31-sp2"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9007739"
"","IP Router","AudioCodes SFP Transceiver 3000","AudioCodes SFP Transceiver 3000","","In use","acl_9123983"
"A0001788696","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","","In use","rriwsdc-9336-bx9-u41-fwout-1"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-10c-0101-oob-as03"
"","IP Router","Infoblox Trinzic DDI Appliances 2225","Infoblox Trinzic DDI Appliances 2225","","In use","win-gridmaster"
"A0001764806","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","","In use","pazshdc-9336-exp-d18-fwout-2"
"","IP Router","Infoblox Trinzic DDI Appliances 2225","Infoblox Trinzic DDI Appliances 2225","","In use","eriwsdcdnsprdrxc-2"
"","IP Router","Unknown","Unknown","","In use","pfltasp-oob-mdf-01"
"A0001488845","IP Router","Cisco Systems, Inc. ASR 1000 Series ASR1002X-5G-HA-K9","Cisco Systems, Inc. ASR 1000 Series ASR1002X-5G-HA-K9","","In use","priwsdc-wan-mpls-aet-05"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series N9K-C93240YC-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series N9K-C93240YC-FX2","","In use","mid-l3-s29w09-ru37-lf2"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9007722"
"","IP Router","Infoblox Trinzic DDI Appliances 2225","Infoblox Trinzic DDI Appliances 2225","","In use","eilbgdcdnsibxsl"
"","IP Router","Infoblox Trinzic DDI Appliances 1415","Infoblox Trinzic DDI Appliances 1415","","In use","fd-infoblox"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series N9K-C93240YC-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series N9K-C93240YC-FX2","","In use","mid-l3-s29w06-ru34-lf1"
"","IP Router","Infoblox Trinzic DDI Appliances 2225","Infoblox Trinzic DDI Appliances 2225","","In use","ericudcipminfma"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-08c-0109-mlf20"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1502-10c-0101-oob-as18"
"","IP Router","Cisco Systems, Inc. Nexus 9300 Series Switches N9K-C9364C","Cisco Systems, Inc. Nexus 9300 Series Switches N9K-C9364C","","In use","az1-x41-r3-ru31-sp3"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1501-01b-0101-oob-as17"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-08c-0105-mlf17"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1502-10c-0201-oob-as20"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-08c-0205-mlf24"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-08c-0210-mlf28"
"","IP Router","Infoblox Trinzic DDI Appliances 2225","Infoblox Trinzic DDI Appliances 2225","","In use","ericudcipminfhma"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-08c-0209-mlf27"
"","IP Router","Cisco Systems, Inc. Nexus 9300-GX2 Series N9K-C9332D-GX2B","Cisco Systems, Inc. Nexus 9300-GX2 Series N9K-C9332D-GX2B","","In use","lgs1502-06b-0101-csp03"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9124086"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1502-10c-0102-oob-as12"
"","IP Router","Infoblox Trinzic DDI Appliances 2225","Infoblox Trinzic DDI Appliances 2225","","In use","ericudcipminfsla"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1502-10c-0103-oob-as13"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-08c-0104-mlf16"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1501-01b-0105-oob-as15"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-08c-0201-mlf21"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1501-01b-0201-oob-as19"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-09c-0101-oob-as01"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-08c-0207-mlf26"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-10c-0110-oob-as04"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-07c-0101-oob-as05"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1501-01b-0103-nlf06"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9124030"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use",""
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-07c-0203-mlf08"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-07c-0206-mlf11"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use",""
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9007478"
"","IP Router","Infoblox Trinzic DDI Appliances 1415","Infoblox Trinzic DDI Appliances 1415","","In use","eazshdcdnsextgm"
"","IP Router","Infoblox Trinzic DDI Appliances 1415","Infoblox Trinzic DDI Appliances 1415","","In use","expomart_test_infoblox"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","ac_atl_mp118_ fxs_2"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1501-01b-0202-oob-as01"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-07c-0107-mlf05"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-07c-0103-mlf01"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-08c-0101-oob-as07"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1501-01b-0203-oob-as02"
"A0001906062","IP Router","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431/K9","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431/K9","","In use","phihomo-sdwan-mdf-01"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-07c-0106-mlf04"
"","IP Router","Cisco Systems, Inc. Nexus 9300 Series Switches N9K-C9364C","Cisco Systems, Inc. Nexus 9300 Series Switches N9K-C9364C","","In use","win-l2-x14y06-ru31-sp1"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-07c-0104-mlf02"
