"asset_tag","model_category","model","model.display_name","assigned_to","install_status","ci"
"A0001516599","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use",""
"A0000690235","Network Gear","Cisco Systems, Inc. Catalyst 2960 Series WS-C2960-48TT-L","Cisco Systems, Inc. Catalyst 2960 Series WS-C2960-48TT-L","","In use",""
"A0001764816","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pmidtsp-1000eyes-mdf-01"
"","Network Gear","F5 Networks BIG-IP i2600","F5 Networks BIG-IP i2600","","In use","r-riwoon-f5rep-pod2-2"
"A0001516444","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use",""
"A0001516609","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L1-TCA22-251"
"A0001702269","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","phihomo-acc-idf1b-01-FOC2432LDLX"
"A0000684330","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"4359509","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","lsv-ds-m1a-farm-1-FJC2422T085"
"4346003","Network Gear","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-24UX-A","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-24UX-A","","In use","SDG-ES-M2A-BKP-1"
"A0000684971","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000680517","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000679864","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001516463","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L1-TCA21-244"
"A0001516471","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L1-TCA19-242"
"A0001516479","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use",""
"4716643","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","blb-wr-mg-1"
"4235455","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-t6a-1-FJB2322D02T"
"A0000681224","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0004523997","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-acc-idf12-01-FJC27162EZP"
"A0001702268","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","phihomo-acc-idf1b-01"
"A0004523995","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-acc-idf03-02-FJC2716243Z"
"A0000687145","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0004523998","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-acc-idf03-02-FJC27162E6R"
"4571848","Network Gear","F5 Networks Z101","F5 Networks Z101","","In use","rricudcf5intprdf65-2-av"
"","Network Gear","F5 Networks BIG-IP i2600","F5 Networks BIG-IP i2600","","In use","r-azshea-f5rep-pod12-1"
"A0000881730","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000681436","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000881731","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001845120","Network Gear","Cisco Systems, Inc. Aironet 3500 Series AIR-CAP3502I-A-K9","Cisco Systems, Inc. Aironet 3500 Series AIR-CAP3502I-A-K9","","In use",""
"A0000681756","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001793391","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pnynocr-acc-mdf-01-FJC24481AN8"
"4359483","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","okc-ds-m1a-farm-1-FJC2423E0HB"
"4235636","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-t4a-1-FJC2324U06T"
"A0000686668","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0004524015","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-acc-idf03-02-FJC27162GTW"
"A0000686370","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001896511","Network Gear","Cisco Systems, Inc. Firepower 4100 Series FPR4125-ASA-K9","Cisco Systems, Inc. Firepower 4100 Series FPR4125-ASA-K9","","In use",""
"4235677","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","ssd-ds-l1lab-2-FJC2409T0HU"
"A0001776884","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","phihomo-acc-idf1c-01"
"4235675","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-t4a-1-FJC2324U08S"
"A0000682289","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0004524092","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-acc-idf03-02"
"A0001881640","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pkslesp-dis-mdf-02-FJC25422A0C"
"A0001516475","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L3-TCA10-214"
"A0001881643","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pkslesp-dis-mdf-01-FJC25422A0P"
"4716641","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","pmh-wr-m1a-1"
"4359485","Network Gear","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-24UX-A","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-24UX-A","","In use","OHA-DS-M1A-FARM-1"
"4235634","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-t4a-1-FJC2324U07A"
"A0001462390","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L1-TCA18-142"
"A0000681087","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"","Network Gear","F5 Networks BIG-IP i2600","F5 Networks BIG-IP i2600","","In use","r-mawt-f5rep-pod2-1"
"A0001463388","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L2-TCA06-21"
"A0001881639","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pkslesp-dis-mdf-01-FJC25422CNW"
"","Network Gear","F5 Networks BIG-IP i2600","F5 Networks BIG-IP i2600","","In use","r-azshea-f5rep-pod9-1"
"A0000680610","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000680310","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001881637","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pnjfpcp-dis-mdf-01"
"4358761","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-tak-1-FJC2417E034"
"4308944","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-tak-1"
"A0001881641","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pnjfpcp-dis-mdf-02"
"A0000881734","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"M154965","Network Gear","Cisco Systems, Inc. Catalyst 38xxstack","Cisco Systems, Inc. Catalyst 38xxstack","","In use","mid-ss-l2-pbxc11-2"
"A0000881733","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000686665","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000682048","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"4716047","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","rscngdi-sdwan-mdf-01"
"4283469","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","ssd-es-l1lab-1-FJB2332B07Q"
"A0001881638","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pkslesp-dis-mdf-02-FJC25422P49"
"3720643","Network Gear","Cisco Systems, Inc. B200 Processor","Cisco Systems, Inc. B200 Processor","","In use",""
"A0000681415","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"4716839","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","hat-sdwan-lbvdc-02"
"4308788","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-tak-1-FJC2338T0RM"
"4308804","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-tak-1-FJC2338S13P"
"A0001881636","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pnjfpcp-dis-mdf-02-FJC254310U4"
"3893531","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","aln-wr-m1a-2"
"4716043","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","phihlsp-sdwan-mdf-01"
"A0004524071","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-acc-idf09-01-FJC27162G6N"
"A0004524066","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-acc-idf09-01-FJC27162GCL"
"A0000881729","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0004524111","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-acc-idf09-01-FJC27131RPL"
"4358758","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-tak-1-FJC2417E037"
"A0000183257","Network Gear","Cisco Systems, Inc. Aironet 3500 Series AIR-CAP3502I-A-K9","Cisco Systems, Inc. Aironet 3500 Series AIR-CAP3502I-A-K9","","In use",""
"A0000179098","Network Gear","Cisco Systems, Inc. Aironet 3500 Series AIR-CAP3502I-A-K9","Cisco Systems, Inc. Aironet 3500 Series AIR-CAP3502I-A-K9","","In use",""
"A0000685398","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"3893534","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","aln-wr-m1a-1"
"4336927","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-t1k-3-FJB2417A05E"
"A0001881642","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pnjfpcp-dis-mdf-01-FJC254311XR"
"A0001462945","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L1-TCA21-123"
"A0000881739","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001658357","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","nwy-wr-m15a-2"
"A0000684270","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"4252610","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","gls-wr-vdc-2"
"4303733","Network Gear","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-24UX-A","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-24UX-A","","In use","STS-DS-M2A-FARM-1"
"4303550","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-ds-t6g-park-1"
"A0001062299","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L1-TCA31-10"
"4303826","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-ds-t6g-park-1-FJC2345E01D"
"A0000683946","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"4297998","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","ssd-es-l1lab-1"
"4345923","Network Gear","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-24UX-A","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-24UX-A","","In use",""
"4297896","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","ssd-es-l1lab-1-FJB2332C00A"
"A0000683642","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"4308678","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-t6g-1-FJC2338U0WX"
"A0000684137","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"4346238","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","ivg-wr-m1a-1"
"4716861","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","oms-wr-m2a-2"
"A0000686872","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000687248","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000681003","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"4297982","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","ord-as-m1a-1"
"4308933","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-t6g-1-FJC2338T06T"
"A0001463393","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L1-TCA07-53"
"4297676","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","ssd-es-l1lab-1-FJB2334A0BJ"
"4716862","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","hat-sdwan-lbvdc-01"
"A0000680743","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000682511","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001516453","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L1-TCA08-231"
"4308874","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-t6g-1-FJC2339E016"
"4308826","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","hfd-es-t6g-1-FJC2338T0RQ"
"A0000686354","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000686598","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000680001","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001516594","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","NOV-AP-L1-MDF-78"
"A0001462518","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L1-TCA11-34"
"A0000683301","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001462391","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L1-TCA18-134"
"3893532","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","dvr-wr-m1a-2"
"4716865","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","stf-wr-m2a-1"
"A0001776118","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","","In use","rwaskom-mpls-mdf-01"
"A0001462530","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","INI-AP-L1-TCA15-78"
"A0000680261","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000681622","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000141161","Network Gear","Cisco Systems, Inc. Aironet 3500 Series AIR-CAP3502I-A-K9","Cisco Systems, Inc. Aironet 3500 Series AIR-CAP3502I-A-K9","","In use",""
"A0002617563","Network Gear","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","","In use","pazshdc-aci-leaf-h12-24"
"A0000686335","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000680938","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"4345687","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","ivg-wr-m1a-2"
"4346101","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","okc-es-t3a-1"
"4716041","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","oms-wr-m2a-1"
"3725890","Network Gear","Cisco Systems, Inc. Catalyst 38xxstack","Cisco Systems, Inc. Catalyst 38xxstack","","In use","mid-ss-l3-wifi-2"
"4716042","Network Gear","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","rtnkxdi-sdwan-mdf-01"
"A0004523032","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","mid-ds-l3-viznet-1-FJC27211YKQ"
"4336877","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","mid-es-l3-1-FJB2417B04Y"
"A0004524076","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-acc-idf09-02-FJC27162EGS"
"","Network Gear","F5, Inc. BIG-IP i4000 Series i4800","F5, Inc. BIG-IP i4000 Series i4800","","In use","paz1novof5pa6p"
"","Network Gear","F5, Inc. BIG-IP i4000 Series i4800","F5, Inc. BIG-IP i4000 Series i4800","","In use","paz1novof5pa5p"
"A0004524091","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-acc-idf09-02-FJC271714DS"
"A0000683528","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001089088","Network Gear","Cisco Systems, Inc. Nexus 7000 Series Switches 7700 2-slot","Cisco Systems, Inc. Nexus 7000 Series Switches 7700 2-slot","","In use","pricmdcaccmif45-b-admin"
"A0000284834","Network Gear","Cisco Systems, Inc. Aironet 3500 Series AIR-CAP3502I-A-K9","Cisco Systems, Inc. Aironet 3500 Series AIR-CAP3502I-A-K9","","In use",""
"A0004524070","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-acc-idf09-02-FJC27162ERS"
