SITE_CODE,CANONICAL_NAME,LOCATION_TYPE,CITY,STATE,COUNTRY,ADDRESS,BASE_IP,HERITAGE,STATUS,NET_TYPE,DATASET_VERSION,HOSTNAME_PREFIX,LATITUDE,LONGITUDE,REGION,FACILITY_OWNER,CSNA_SITE_NAME,NMS_PATH_FRAGMENT,NOTE
US_SDF_KY_INS-CC,Louisville KY - Call Center,Call-Center,Louisville,KY,US,"9900 Corporate Campus Drive, Louisville, KY",,AETNA,Retired,Call-Center,v5.20,us-sdf-ky-ins-cc,,,Southeast,Leased,,"AETNA,OMNICARE 2",
US_MTP_PA_CVS-CC,Moon Township PA - Call Center,Call-Center,Moon Township,PA,US,"2222 Ewing Road, Moon Township, PA",,CVS,Retired,Call-Center,v5.20,us-mtp-pa-cvs-cc,,,Northeast,Leased,,CONVENTRY,"Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_MPR_IL_CVS-CC,Mount Prospect IL - PSS Customer Care,Call-Center,Mount Prospect,IL,US,"800 Biermann Court, Mount Prospect, IL 60056",,CVS,Active,Corporate,v5.20,us-mpr-il-cvs-cc,,,Midwest,Leased,,"PHARMACY,CALL CENTER",
US_MPR_IL_MO,Mount Prospect IL - Mail Order,Mail-Order,Mount Prospect,IL,US,"1780 Wall Street, Mount Prospect, IL 60056",,CVS,Active,Corporate,v5.20,us-mpr-il-mo,,,Midwest,Leased,,"PHARMACY,CALL CENTER",
US_NAL_OH_INS-CC,New Albany OH - Call Center,Call-Center,New Albany,OH,US,"7400 West Campus Road, New Albany, OH",,AETNA,Retired,Call-Center,v5.20,us-nal-oh-ins-cc,,,Midwest,Leased,,AETNA,"Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_ORL_FL_CVS-CC,Orlando FL - Call Center,Call-Center,Orlando,FL,US,"Orlando, FL",,CVS,Retired,Call-Center,v5.20,us-orl-fl-cvs-cc,,,Southeast,Leased,,"CALL CENTER,SPECIALTY,AETNA,DISTRIBUTION CENTER","Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_PHX_AZ_INS-CC,Phoenix AZ - Cotton Center Call Center,Call-Center,Phoenix,AZ,US,"4121 East Cotton Center Boulevard, Phoenix, AZ",,AETNA,Active,Call-Center,v5.20,us-phx-az-ins-cc,,,West,Leased,,"Customer Care,CAREPLUS,AETNA,AETNA 2,DATACENTER",
US_PLF_FL_INS-CC,Plantation FL - Call Center,Call-Center,Plantation,FL,US,"261 N University Drive, Plantation, FL",,AETNA,Retired,Call-Center,v5.20,us-plf-fl-ins-cc,,,Southeast,Leased,,"CALL CENTER,AETNA","Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_PLY_MN_INS-CC,Plymouth MN - Call Center,Call-Center,Plymouth,MN,US,"1405 Xenium Lane North, Plymouth, MN",,AETNA,Retired,Call-Center,v5.20,us-ply-mn-ins-cc,,,Midwest,Leased,,MERITAIN,
US_SAT_TX_CVS-CC,San Antonio TX - Call Center,Call-Center,San Antonio,TX,US,"7034-7054 Alamo Downs, San Antonio, TX",,CVS,Retired,Call-Center,v5.20,us-sat-tx-cvs-cc,,,South-Central,Leased,,"PHARMACY,CAREPLUS,OMNICARE,AETNA","Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_SCA_CA_F9-NH,Santa Clara CA - Five9 VoIP Hub,NAAS-Hub,Santa Clara,CA,US,"Santa Clara, CA",,PARTNER,Retired,Partner-CallCenter,v5.20,us-sca-ca-f9-nh,,,West,Leased,,,"Retired 2026-08-01 via audit_lm_all_ip.py -- duplicate active SITE_CODE, real replacement already in use."
US_SMF_RI_CVS-CC,Smithfield RI - Call Center,Call-Center,Smithfield,RI,US,"935 Douglas Pike, Smithfield, RI",,CVS,Retired,Call-Center,v5.20,us-smf-ri-cvs-cc,,,Northeast,Leased,,BUSINESS INTEGRATION CENTER,
US_WBR_PA_MO,Wilkes-Barre PA - Mail Order,Mail-Order,Wilkes-Barre,PA,US,"1 Great Valley Boulevard, Wilkes-Barre, PA 18706",,CVS,Active,Corporate,v5.20,us-wbr-pa-mo,,,Northeast,Leased,,,
US_ALL_PA_HP,Allentown PA - CarePlus,CarePlus,Allentown,PA,US,,,AETNA,Active,Specialty,v5.20,us-all-pa-hp,,,Northeast,Leased,,,
US_ARL_TX_HP,Arlington TX - CarePlus,CarePlus,Arlington,TX,US,,,AETNA,Active,Specialty,v5.20,us-arl-tx-hp,,,South-Central,Leased,,AETNA,
US_AUR_CO_HP,Aurora CO - CarePlus,CarePlus,Aurora,CO,US,,,CVS,Active,Corporate,v5.20,us-aur-co-hp,,,West,Leased,,CAREPLUS,
US_BTR_LA_HP,Baton Rouge LA - CarePlus,CarePlus,Baton Rouge,LA,US,,,AETNA,Active,Specialty,v5.20,us-btr-la-hp,,,Southeast,Leased,,AETNA,
US_BIR_AL_HP,Birmingham AL - CarePlus,Specialty,Birmingham,AL,US,,,CVS,Active,Specialty,v5.20,us-bir-al-hp,,,Southeast,Leased,,CAREPLUS,
US_BOI_ID_HP,Boise ID - CarePlus,CarePlus,Boise,ID,US,,,AETNA,Active,Specialty,v5.20,us-boi-id-hp,,,West,Leased,,WFH,
US_BOS_MA_HP,Boston MA - CarePlus,CarePlus,Boston,MA,US,,,CVS,Active,Corporate,v5.20,us-bos-ma-hp,,,Northeast,Leased,,"CAREPLUS,CAREPLUS2,CORP",
US_CAO_OH_HP,Canton OH - CarePlus,CarePlus,Canton,OH,US,,,AETNA,Active,Specialty,v5.20,us-cao-oh-hp,,,Midwest,Leased,,,
US_SJU_PR_HP,Carolina PR - CarePlus,CarePlus,Carolina,PR,US,"6020 Roberto Sanchez Vilella Avenue, Carolina, PR 00982",,AETNA,Active,Corporate,v5.20,us-sju-pr-hp,,,Other,Leased,,SPECIALTY,
US_CHD_AZ_HP1,Chandler AZ - CarePlus,CarePlus,Chandler,AZ,US,,,AETNA,Active,Specialty,v5.20,us-chd-az-hp1,,,West,Leased,,"OMNICARE,CALL CENTER",
US_CHS_SC_HP,Charleston SC - CarePlus,CarePlus,Charleston,SC,US,,,AETNA,Active,Specialty,v5.20,us-chs-sc-hp,,,Southeast,Leased,,OMNICARE,
US_CHN_NC_HP,Charlotte NC - CarePlus,CarePlus,Charlotte,NC,US,,,CVS,Active,Corporate,v5.20,us-chn-nc-hp,,,Southeast,Leased,,CAREPLUS,
US_CHV_VA_HP,Charlottesville VA - CarePlus,CarePlus,Charlottesville,VA,US,,,AETNA,Active,Specialty,v5.20,us-chv-va-hp,,,Southeast,Leased,,,
US_CIN_OH_HP,Cincinnati OH - CarePlus,CarePlus,Cincinnati,OH,US,,,AETNA,Active,Specialty,v5.20,us-cin-oh-hp,,,Midwest,Leased,,"OMNICARE 1,OMNICARE 2",
US_COS_SC_HP,Columbia SC - CarePlus,Specialty,Columbia,SC,US,,,CVS,Active,Specialty,v5.20,us-cos-sc-hp,,,Southeast,Leased,,"CAREPLUS,CORAM",
US_COO_OH_HP,Columbus OH - CarePlus,CarePlus,Columbus,OH,US,,,AETNA,Active,Specialty,v5.20,us-coo-oh-hp,,,Midwest,Leased,,OMNICARE,
US_CON_NC_HP,Concord NC - CarePlus,CarePlus,Concord,NC,US,,,AETNA,Active,Specialty,v5.20,us-con-nc-hp,,,Southeast,Leased,,,
US_DAT_TX_HP1,Dallas TX - CarePlus,CarePlus,Dallas,TX,US,,,AETNA,Active,Specialty,v5.20,us-dat-tx-hp1,,,South-Central,Leased,,EQUINIX,
US_DEN_CO_HP,Denver CO - CarePlus,CarePlus,Denver,CO,US,,,AETNA,Active,Specialty,v5.20,us-den-co-hp,,,West,Leased,,WEST_CORP,
US_EVI_IN_HP,Evansville IN - CarePlus,CarePlus,Evansville,IN,US,,,AETNA,Active,Specialty,v5.20,us-evi-in-hp,,,Midwest,Leased,,,
US_FOT_TX_HP,Fort Worth TX - CarePlus,CarePlus,Fort Worth,TX,US,,,CVS,Active,Corporate,v5.20,us-fot-tx-hp,,,South-Central,Leased,,"OMNICARE,CAREPLUS",
US_FRA_KY_HP,Frankfort KY - CarePlus,CarePlus,Frankfort,KY,US,,,AETNA,Active,Specialty,v5.20,us-fra-ky-hp,,,Southeast,Leased,,,
US_GAI_FL_HP,Gainesville FL - CarePlus,CarePlus,Gainesville,FL,US,,,AETNA,Active,Specialty,v5.20,us-gai-fl-hp,,,Southeast,Leased,,,
US_GRM_MI_HP,Grand Rapids MI - CarePlus,CarePlus,Grand Rapids,MI,US,,,AETNA,Active,Specialty,v5.20,us-grm-mi-hp,,,Midwest,Leased,,OMNICARE,
US_HAR_PA_HP,Harrisburg PA - CarePlus,CarePlus,Harrisburg,PA,US,,,AETNA,Active,Specialty,v5.20,us-har-pa-hp,,,Northeast,Leased,,PENN DOT,
US_HNL_HI_HP,Honolulu HI - CarePlus,CarePlus,Honolulu,HI,US,"3375 Koapaka Street, Suite D105, Honolulu, HI 96819",,AETNA,Active,Corporate,v5.20,us-hnl-hi-hp,,,West,Leased,,"MAIL ORDER,SPECIALTY2",
US_HOU_TX_HP,Houston TX - CarePlus,CarePlus,Houston,TX,US,,,AETNA,Active,Specialty,v5.20,us-hou-tx-hp,,,South-Central,Leased,,DC,
US_INI_IN_HP,Indianapolis IN - CarePlus,CarePlus,Indianapolis,IN,US,,,AETNA,Active,Specialty,v5.20,us-ini-in-hp,,,Midwest,Leased,,"OMNICARE,DISTRIBUTION CENTER",
US_KAN_MO_HP,Kansas City MO - CarePlus,CarePlus,Kansas City,MO,US,,,AETNA,Active,Specialty,v5.20,us-kan-mo-hp,,,Midwest,Leased,,"OMNICARE,DISTRIBUTION CENTER",
US_LAP_PA_HP,Lancaster PA - CarePlus,CarePlus,Lancaster,PA,US,,,AETNA,Active,Specialty,v5.20,us-lap-pa-hp,,,Northeast,Leased,,,
US_LVG_NV_HP,Las Vegas NV - CarePlus,CarePlus,Las Vegas,NV,US,,,AETNA,Active,Specialty,v5.20,us-lvg-nv-hp,,,West,Leased,,"SPECIALTY,OMNICARE,Call Center,DATACENTER",
US_LEX_KY_HP,Lexington KY - CarePlus,CarePlus,Lexington,KY,US,,,AETNA,Active,Specialty,v5.20,us-lex-ky-hp,,,Southeast,Leased,,,
US_LON_NH_HP,Londonderry NH - CarePlus,CarePlus,Londonderry,NH,US,,,AETNA,Active,Specialty,v5.20,us-lon-nh-hp,,,Northeast,Leased,,OMNICARE,
US_LAX_CA_HP,Los Angeles CA - CarePlus,CarePlus,Los Angeles,CA,US,,,AETNA,Active,Specialty,v5.20,us-lax-ca-hp,,,West,Leased,,HGS,
US_MEM_TN_HP,Memphis TN - CarePlus,CarePlus,Memphis,TN,US,,,AETNA,Active,Specialty,v5.20,us-mem-tn-hp,,,Southeast,Leased,,,
US_MIA_FL_HP,Miami FL - CarePlus,CarePlus,Miami,FL,US,,,CVS,Active,Corporate,v5.20,us-mia-fl-hp,,,Southeast,Leased,,CAREPLUS,
US_MIN_MN_HP,Minneapolis MN - CarePlus,CarePlus,Minneapolis,MN,US,,,AETNA,Active,Specialty,v5.20,us-min-mn-hp,,,Midwest,Leased,,,
US_NAS_TN_HP,Nashville TN - CarePlus,CarePlus,Nashville,TN,US,,,AETNA,Active,Specialty,v5.20,us-nas-tn-hp,,,Southeast,Leased,,OMNICARE,
US_NYC_NY_HP1,New York NY - CarePlus,CarePlus,New York,NY,US,,,CVS,Active,Corporate,v5.20,us-nyc-ny-hp1,,,Northeast,Leased,,"CAREPLUS,CORP,AETNA 2,AETNA",
US_NEW_NJ_HP,Newark NJ - CarePlus,CarePlus,Newark,NJ,US,,,AETNA,Active,Specialty,v5.20,us-new-nj-hp,,,Northeast,Leased,,,
US_NOR_VA_HP,Norfolk VA - CarePlus,CarePlus,Norfolk,VA,US,,,AETNA,Active,Specialty,v5.20,us-nor-va-hp,,,Southeast,Leased,,,
US_OKL_OK_HP,Oklahoma City OK - CarePlus,CarePlus,Oklahoma City,OK,US,,,AETNA,Active,Specialty,v5.20,us-okl-ok-hp,,,South-Central,Leased,,"OMNICARE,AETNA",
US_OMN_NE_HP,Omaha NE - CarePlus,CarePlus,Omaha,NE,US,,,AETNA,Active,Specialty,v5.20,us-omn-ne-hp,,,Midwest,Leased,,,
US_ORL_FL_HP,Orlando FL - CarePlus,CarePlus,Orlando,FL,US,,,AETNA,Active,Specialty,v5.20,us-orl-fl-hp,,,Southeast,Leased,,"CALL CENTER,SPECIALTY,AETNA,DISTRIBUTION CENTER",
US_OVP_KS_HP,Overland Park KS - CarePlus,CarePlus,Overland Park,KS,US,,,AETNA,Active,Specialty,v5.20,us-ovp-ks-hp,,,Midwest,Leased,,,
US_PEO_IL_HP,Peoria IL - CarePlus,CarePlus,Peoria,IL,US,,,AETNA,Active,Specialty,v5.20,us-peo-il-hp,,,Midwest,Leased,,,
US_PHL_PA_HP,Philadelphia PA - CarePlus,CarePlus,Philadelphia,PA,US,,,CVS,Active,Corporate,v5.20,us-phl-pa-hp,,,Northeast,Leased,,CAREPLUS,
US_PHX_AZ_HP2,Phoenix AZ - CarePlus,CarePlus,Phoenix,AZ,US,,,CVS,Active,Corporate,v5.20,us-phx-az-hp2,,,West,Leased,,"Customer Care,CAREPLUS,AETNA,AETNA 2,DATACENTER",
US_PIT_PA_HP,Pittsburgh PA - CarePlus,CarePlus,Pittsburgh,PA,US,,,AETNA,Active,Specialty,v5.20,us-pit-pa-hp,,,Northeast,Leased,,"OMNICARE,CORP",
US_POO_OR_HP,Portland OR - CarePlus,CarePlus,Portland,OR,US,,,CVS,Active,Corporate,v5.20,us-poo-or-hp,,,West,Leased,,"OMNICARE,CAREPLUS",
US_PRO_RI_HP,Providence RI - CarePlus,CarePlus,Providence,RI,US,,,CVS,Active,Corporate,v5.20,us-pro-ri-hp,,,Northeast,Leased,,CAREPLUS,
US_RIV_VA_HP,Richmond VA - CarePlus,CarePlus,Richmond,VA,US,,,AETNA,Active,Specialty,v5.20,us-riv-va-hp,,,Southeast,Leased,,"OMNICARE,ANTHEM",
US_ROA_VA_HP,Roanoke VA - CarePlus,CarePlus,Roanoke,VA,US,,,AETNA,Active,Specialty,v5.20,us-roa-va-hp,,,Southeast,Leased,,,
US_ROC_NY_HP,Rochester NY - CarePlus,CarePlus,Rochester,NY,US,,,AETNA,Active,Specialty,v5.20,us-roc-ny-hp,,,Northeast,Leased,,OMNICARE,
US_ROI_IL_HP,Rockford IL - CarePlus,CarePlus,Rockford,IL,US,,,AETNA,Active,Specialty,v5.20,us-roi-il-hp,,,Midwest,Leased,,,
US_SAU_UT_HP,Salt Lake City UT - CarePlus,CarePlus,Salt Lake City,UT,US,,,AETNA,Active,Specialty,v5.20,us-sau-ut-hp,,,West,Leased,,OMNICARE,
US_SAT_TX_HP,San Antonio TX - CarePlus,CarePlus,San Antonio,TX,US,,,,Active,Specialty,v5.20,us-sat-tx-hp,,,South-Central,Leased,,"PHARMACY,CAREPLUS,OMNICARE,AETNA",
US_SAN_CA_HP,San Diego CA - CarePlus,CarePlus,San Diego,CA,US,,,CVS,Active,Corporate,v5.20,us-san-ca-hp,,,West,Leased,,"CORAM,CAREPLUS",
US_SFO_CA_HP,San Francisco CA - CarePlus,CarePlus,San Francisco,CA,US,,,CVS,Active,Corporate,v5.20,us-sfo-ca-hp,,,West,Leased,,CAREPLUS,
US_SAV_GA_HP,Savannah GA - CarePlus,CarePlus,Savannah,GA,US,,,AETNA,Active,Specialty,v5.20,us-sav-ga-hp,,,Southeast,Leased,,,
US_SEA_WA_HP,Seattle WA - CarePlus,CarePlus,Seattle,WA,US,,,CVS,Active,Corporate,v5.20,us-sea-wa-hp,,,West,Leased,,CAREPLUS,
US_SPR_IL_HP,Springfield IL - CarePlus,CarePlus,Springfield,IL,US,,,AETNA,Active,Specialty,v5.20,us-spr-il-hp,,,Midwest,Leased,,,
US_TAL_FL_HP,Tallahassee FL - CarePlus,CarePlus,Tallahassee,FL,US,,,AETNA,Active,Specialty,v5.20,us-tal-fl-hp,,,Southeast,Leased,,RBO,
US_TPA_FL_HP,Tampa FL - CarePlus,CarePlus,Tampa,FL,US,,,AETNA,Active,Specialty,v5.20,us-tpa-fl-hp,,,Southeast,Leased,,"OMNICARE,SPECIALTY",
US_TOP_KS_HP,Topeka KS - CarePlus,CarePlus,Topeka,KS,US,,,AETNA,Active,Specialty,v5.20,us-top-ks-hp,,,Midwest,Leased,,,
US_TUC_AZ_HP,Tucson AZ - CarePlus,CarePlus,Tucson,AZ,US,,,AETNA,Active,Specialty,v5.20,us-tuc-az-hp,,,West,Leased,,,
US_TUL_OK_HP,Tulsa OK - CarePlus,CarePlus,Tulsa,OK,US,,,AETNA,Active,Specialty,v5.20,us-tul-ok-hp,,,South-Central,Leased,,,
US_URB_IA_HP,Urbandale IA - CarePlus,CarePlus,Urbandale,IA,US,,,AETNA,Active,Specialty,v5.20,us-urb-ia-hp,,,Midwest,Leased,,OMNICARE,
US_WDC_DC_HP,Washington DC - CarePlus,CarePlus,Washington,DC,US,,,AETNA,Active,CarePlus,v5.20,us-wdc-dc-hp,,,Southeast,Leased,,"CORP,AETNA,CAREPLUS",
US_WEO_OH_HP,West Chester OH - CarePlus,CarePlus,West Chester,OH,US,,,CVS,Active,Corporate,v5.20,us-weo-oh-hp,,,Midwest,Leased,,CAREPLUS,
US_WEC_CA_HP,West Hollywood CA - CarePlus,CarePlus,West Hollywood,CA,US,,,CVS,Active,Corporate,v5.20,us-wec-ca-hp,,,West,Leased,,CAREPLUS,
US_WIC_KS_HP,Wichita KS - CarePlus,CarePlus,Wichita,KS,US,,,AETNA,Active,Specialty,v5.20,us-wic-ks-hp,,,Midwest,Leased,,OMNICARE,
US_YOR_PA_HP,York PA - CarePlus,CarePlus,York,PA,US,,,AETNA,Active,Specialty,v5.20,us-yor-pa-hp,,,Northeast,Leased,,,
US_IAD_VA_CI,Ashburn VA - Equinix,COLO,Ashburn,VA,US,"21715 Filigree Court, Ashburn, VA",,,Retired,Cloud-Peering,v5.20,us-iad-va-ci,39.0438,-77.4874,Southeast,Equinix,,"EQUINIX-PSS,EQUINIX-HCB",Retired v5.18 — replaced by US_IAD_VA_CX. Suffix _CI was incorrect for cloud exchange facility.
US_IAD_VA_CX,Ashburn VA - Equinix,COLO,Ashburn,VA,US,"21715 Filigree Court, Ashburn, VA",,,Active,Cloud-Peering,v5.20,us-iad-va-ci,39.0438,-77.4874,Southeast,Equinix,,"EQUINIX-PSS,EQUINIX-HCB",Added v5.18 — renamed from US_IAD_VA_CI (_CI suffix incorrect for cloud exchange). Equinix cloud peering hub.
US_DFW_TX_CI,Dallas TX - Equinix,COLO,Dallas,TX,US,"Dallas, TX",,,Retired,Cloud-Peering,v5.20,us-dfw-tx-ci,32.814,-96.87,South-Central,Equinix,,EQUINIX,Retired v5.18 — replaced by US_DFW_TX_CX. Suffix _CI was incorrect for cloud exchange facility.
